date,file,text,tags,categeory
01-03-2023,audio1.wav,['hello how may i help you to day i am playing to buy a new home could you please let me know the process to apply for a home lone here is the form and the list of documents required for a home one kindly filled and submitted thank you for the information'],"['""home""', '""may""', '""lone""']",Home loan
01-03-2023,audio2.wav,['hello i want to complain about your telly calling services i am receiving daily calls for new credit card offers i have complaints several times to the customer care please take care of this matter as soon as possible and put my number on den i apologized for the problem faced by you we will take care of this matter seriously'],"['""care""', '""take""', '""matter""']",Others
01-03-2023,audio3.wav,['then i want to get a form for education loan for my child sorry sir forms are distributed till lunch time only sorry you are late our lunch time you started just now please come to morrow'],"['""education""', '""sorry""', '""lunch""']",Education loan
01-03-2023,audio4.wav,['hello the dupes print my passbook sorry for the inconvenience the passbook printing machine is out of service please visit another branch'],"['""passbook""', '""printing""', '""sorry""']",Passbook
01-03-2023,audio5.wav,['hey what is the interest rate of your bank for a new car loan please me i know the approximate amount for your car purchase as we have different new offers for a loan based on the price of new car it may be around thirty five locks okay the interest rate for you will be a point five percent brandon you also have a special offer of paying it back after eight years the information i will get back to you so'],"['""new""', '""car""', '""five""']",Car loan
01-03-2023,audio6.wav,"[""hey how may i help you to day i want to exchange my old five hundred and one thousand rupees currency notes with new currency notes the doleas sheathe amount i want to talk with your manager as the amount is little huge sorry sir we don't exchange such huge amount currency notes""]","['""amount""', '""currency""', '""notes""']",Others
01-03-2023,audio7.wav,['hello i am looking for a home on could you please cheer me the details surelee home london interest starting with a point six percent bradamant processing festering with dan thousand as for your loan amount'],"['""home""', '""six""', '""point""']",Home loan
01-03-2023,audio8.wav,['all i want to apply for a locker on your bank would you please let me know how can i apply for it all you need to fill the locker form with a tested at harar and you need to open a fixed deposit of twenty thousand in our bank'],"['""apply""', '""locker""', '""bank""']",Locker
01-03-2023,audio9.wav,['i want a new credit card could you please provide me a good off for one sure would recount details you have a good offer on your account you can get a credit card with a limit of two locks and twenty thousand worth shopping offers'],"['""credit""', '""card""', '""good""']",Credit card
01-03-2023,audio10.wav,['i am looking for a bike loan could you please help me by sharing the details yes sure we are currently offering a bygone with an interest rate of seven per cent parentum'],"['""bike""', '""sharing""', '""please""']",Bike loan
01-03-2023,audio11.wav,['hello how may i help you to day i am looking for a home long could you please help me to apply for a home loan sure we will help you to apply for a whole long here is the form for home moaning the list of documents required for a home on a rate of interest starts from seven per cent per annum for home long thank you for your help i will submit all the requirements for the home on'],"['""home""', '""help""', '""loan""']",Home loan
01-03-2023,audio12.wav,['hello i am looking for a good credit card with good offers so we will definitely help you to get the best credit card for you but you please share your account details here or marconis please provide me a credit card with limit more than one lock in good offers an online shopping you i luckstone eligible for amazon predicted which has a limit of two locks and you will get good cash back on shopping on amazon with this credit card'],"['""card""', '""credit""', '""good""']",Credit card
