Frame Count,Face ID,Time,Gender,Emotion,Race,Age,Suspecious
29,0,1.16,Man,neutral,indian,33,1
18,2,0.72,Women,neutral,indian,33,0
11,3,0.44,Man,neutral,indian,31,0
11,4,0.44,Women,neutral,indian,35,1
2,1,0.08,Man,fear,middle eastern,28,0
1,5,0.04,Man,neutral,indian,31,1
29,0,1.16,Man,neutral,indian,33,1
18,2,0.72,Women,neutral,indian,33,0
11,3,0.44,Man,neutral,indian,31,0
11,4,0.44,Women,neutral,indian,35,1
2,1,0.08,Man,fear,middle eastern,28,0
1,5,0.04,Man,neutral,indian,31,1
11,4,0.44,Women,neutral,indian,35,1
2,1,0.08,Man,fear,middle eastern,28,0
1,5,0.04,Man,neutral,indian,31,1
29,0,1.16,Man,neutral,indian,33,1
18,2,0.72,Women,neutral,indian,33,0
